Country,Variant,date,I,D,R,V,H,ICU,Population,S,Stringency
FRA,Omicron,2022-03-04,54138.0,184.12244897959184,54402.69387755102,81560.8775510204,25536.55102040817,2544.387755102041,67813000.0,67741883.57142857,29.84714285714286
FRA,Omicron,2022-03-05,52769.9387755102,178.18367346938777,53034.44897959184,76074.91836734695,25093.85714285714,2483.8571428571427,67813000.0,67743073.44897959,29.83857142857143
FRA,Omicron,2022-03-06,51773.5306122449,173.53061224489798,52035.71428571428,71284.89795918367,24658.14285714286,2423.7346938775518,67813000.0,67743896.3265306,29.83
FRA,Omicron,2022-03-07,51167.38775510205,168.75510204081633,51425.51020408164,66954.77551020408,24231.26530612245,2365.285714285714,67813000.0,67744333.71428572,29.821428571428573
FRA,Omicron,2022-03-08,50516.9387755102,163.77551020408163,50767.97959183674,62812.93877551021,23816.44897959184,2308.1020408163267,67813000.0,67744820.38775511,29.814285714285717
FRA,Omicron,2022-03-09,50398.73469387756,159.26530612244898,50639.79591836735,58689.551020408166,23416.12244897959,2252.081632653061,67813000.0,67744779.3265306,29.80857142857143
FRA,Omicron,2022-03-10,50721.95918367348,154.6122448979592,50946.142857142855,54558.10204081633,23037.32653061225,2198.551020408163,67813000.0,67744301.48979592,29.80142857142857
FRA,Omicron,2022-03-11,51447.9387755102,150.55102040816328,51651.24489795919,50488.44897959184,22683.469387755107,2147.3673469387754,67813000.0,67743424.95918368,29.795714285714286
FRA,Omicron,2022-03-12,52392.0,145.28571428571428,52565.22448979592,46545.67346938776,22364.95918367347,2100.081632653061,67813000.0,67742335.61224489,29.79
FRA,Omicron,2022-03-13,53768.0612244898,138.22448979591837,53913.89795918367,42747.44897959184,22080.89795918368,2056.6326530612246,67813000.0,67740821.3265306,29.784285714285712
FRA,Omicron,2022-03-14,55395.857142857145,132.0,55515.51020408164,39180.95918367348,21829.24489795919,2015.3061224489795,67813000.0,67739061.53061225,28.217142857142857
FRA,Omicron,2022-03-15,57247.0612244898,127.16326530612244,57339.755102040814,35983.489795918365,21609.387755102045,1976.4081632653065,67813000.0,67737083.1632653,26.65
