Country,Variant,date,I,D,R,V,H,ICU,Population,S,Stringency
ITA,Omicron,2022-02-15,78429.85714285714,342.10204081632656,78440.55102040817,303392.1632653061,18994.83673469388,1332.6326530612243,59037472.0,58944973.816326536,48.72428571428571
ITA,Omicron,2022-02-16,74151.5306122449,333.6326530612245,74197.02040816327,285068.7551020408,18615.714285714286,1301.5510204081634,59037472.0,58948918.51020408,48.06285714285714
ITA,Omicron,2022-02-17,70196.75510204081,323.22448979591843,70272.48979591837,267773.44897959183,18216.755102040817,1267.4081632653065,59037472.0,58952550.0612245,47.40285714285714
ITA,Omicron,2022-02-18,66622.0,314.53061224489795,66722.8163265306,251547.3673469388,17801.408163265307,1231.1632653061224,59037472.0,58955810.28571428,47.372857142857136
ITA,Omicron,2022-02-19,63448.142857142855,307.44897959183675,63570.32653061225,236395.0408163265,17371.775510204083,1193.2448979591838,59037472.0,58958676.69387756,47.34428571428571
ITA,Omicron,2022-02-20,60670.71428571428,302.1836734693878,60805.36734693878,222225.1632653061,16934.938775510203,1155.0204081632653,59037472.0,58961151.93877552,47.317142857142855
ITA,Omicron,2022-02-21,58229.10204081633,296.6734693877551,58370.18367346939,209084.81632653065,16497.183673469386,1116.8979591836735,59037472.0,58963296.87755103,47.290000000000006
ITA,Omicron,2022-02-22,55961.65306122449,290.44897959183675,56104.0,196888.83673469388,16064.38775510204,1079.4693877551022,59037472.0,58965273.87755103,47.26428571428572
ITA,Omicron,2022-02-23,54112.97959183673,283.4285714285715,54256.32653061224,185566.30612244896,15637.61224489796,1043.8775510204082,59037472.0,58966839.12244899,47.24
ITA,Omicron,2022-02-24,52490.69387755101,278.04081632653066,52630.40816326531,175183.693877551,15219.857142857143,1010.061224489796,59037472.0,58968183.36734694,47.21571428571429
ITA,Omicron,2022-02-25,51023.0612244898,271.30612244897964,51154.73469387755,165690.73469387754,14816.877551020409,978.0816326530612,59037472.0,58969379.69387756,47.19285714285714
ITA,Omicron,2022-02-26,49599.24489795919,262.51020408163265,49725.04081632653,157117.42857142858,14428.57142857143,947.7346938775509,59037472.0,58970541.0,47.17142857142858
ITA,Omicron,2022-02-27,48180.142857142855,253.20408163265307,48306.77551020408,149468.79591836737,14048.73469387755,918.5102040816328,59037472.0,58971706.89795918,47.15
ITA,Omicron,2022-02-28,46757.34693877551,244.97959183673476,46888.48979591836,142596.26530612246,13672.61224489796,889.9183673469388,59037472.0,58972884.71428572,47.05857142857143
ITA,Omicron,2022-03-01,45295.489795918365,238.51020408163268,45434.30612244899,136444.63265306124,13295.285714285714,862.0408163265305,59037472.0,58974108.06122448,46.57142857142857
ITA,Omicron,2022-03-02,43790.4693877551,231.57142857142856,43936.04081632653,130911.9387755102,12918.142857142857,833.7959183673469,59037472.0,58975381.51020408,46.08714285714286
ITA,Omicron,2022-03-03,42275.0612244898,224.3877551020408,42429.36734693877,125841.32653061223,12539.448979591836,805.8163265306122,59037472.0,58976672.530612245,45.60285714285715
ITA,Omicron,2022-03-04,40875.10204081633,217.3469387755102,41039.57142857143,121129.08163265303,12157.632653061224,778.1224489795919,59037472.0,58977855.14285714,45.121428571428574
ITA,Omicron,2022-03-05,39636.67346938776,213.12244897959184,39801.4693877551,116576.08163265303,11779.714285714286,751.1632653061225,59037472.0,58978880.4489796,44.64142857142857
ITA,Omicron,2022-03-06,38670.0612244898,209.00000000000003,38829.857142857145,112050.38775510204,11410.91836734694,725.6530612244898,59037472.0,58979638.0612245,44.16285714285714
ITA,Omicron,2022-03-07,37996.0,204.0204081632653,38145.02040816326,107423.89795918368,11057.87755102041,702.3877551020407,59037472.0,58980108.10204082,43.75857142857143
ITA,Omicron,2022-03-08,37538.0612244898,197.3469387755102,37673.10204081633,102736.81632653062,10725.489795918367,680.5918367346939,59037472.0,58980368.69387756,43.75142857142857
ITA,Omicron,2022-03-09,37623.34693877551,191.48979591836735,37738.10204081632,98052.26530612244,10419.244897959185,660.5714285714286,59037472.0,58980091.91836735,43.74285714285715
ITA,Omicron,2022-03-10,38179.75510204082,185.2244897959184,38271.857142857145,93414.79591836737,10141.918367346938,642.1020408163266,59037472.0,58979350.28571429,43.737142857142864
ITA,Omicron,2022-03-11,39092.75510204082,179.26530612244898,39160.97959183674,88892.10204081633,9894.42857142857,625.1836734693878,59037472.0,58978258.02040816,43.73
ITA,Omicron,2022-03-12,40400.12244897959,171.8571428571429,40446.22448979592,84630.65306122448,9676.469387755102,609.4489795918367,59037472.0,58976778.79591837,43.72428571428571
ITA,Omicron,2022-03-13,41938.12244897959,164.3877551020408,41961.183673469386,80753.79591836734,9489.020408163266,594.5918367346939,59037472.0,58975076.408163264,43.71857142857143
ITA,Omicron,2022-03-14,43683.857142857145,157.3265306122449,43686.36734693877,77413.91836734694,9329.183673469388,579.9795918367347,59037472.0,58973173.34693878,43.712857142857146
ITA,Omicron,2022-03-15,45483.71428571428,151.81632653061226,45463.10204081632,74548.08163265305,9197.979591836734,565.8979591836735,59037472.0,58971221.67346939,43.707142857142856
ITA,Omicron,2022-03-16,47529.36734693877,147.22448979591834,47487.91836734694,72092.24489795919,9092.204081632652,552.469387755102,59037472.0,58969028.79591836,43.70285714285715
ITA,Omicron,2022-03-17,49829.36734693877,143.42857142857142,49767.12244897959,69995.16326530612,9011.020408163266,539.795918367347,59037472.0,58966585.367346935,43.69857142857143
