Country,Variant,date,I,D,R,V,H,ICU,Population,S,Stringency
DEU,Omicron,2022-01-02,27707.26530612245,163.18367346938774,27544.081632653066,588115.7551020408,5861.367346938775,4150.714285714285,83369840.0,83340469.91836736,42.701428571428565
DEU,Omicron,2022-01-03,28010.63265306122,157.91836734693877,27852.714285714286,528033.2040816325,5682.7959183673465,4087.428571428572,83369840.0,83340008.63265307,42.69142857142857
DEU,Omicron,2022-01-04,28599.061224489797,153.4081632653061,28445.65306122449,478949.7755102041,5552.714285714285,4023.6530612244896,83369840.0,83339266.79591836,42.68
DEU,Omicron,2022-01-05,29719.55102040817,149.59183673469389,29569.959183673476,443231.9795918368,5466.265306122448,3960.3469387755104,83369840.0,83337996.71428572,42.66857142857142
DEU,Omicron,2022-01-06,31290.979591836734,145.9795918367347,31145.0,420226.0,5415.285714285715,3896.979591836735,83369840.0,83336279.30612244,42.65571428571429
DEU,Omicron,2022-01-07,33032.551020408166,141.3877551020408,32891.163265306124,408344.7142857143,5388.632653061225,3833.571428571429,83369840.0,83334396.34693877,42.63857142857143
DEU,Omicron,2022-01-08,35179.08163265306,137.3673469387755,35041.71428571428,405779.8979591837,5375.306122448979,3768.877551020408,83369840.0,83332112.44897959,42.61857142857143
DEU,Omicron,2022-01-09,37713.63265306123,134.12244897959184,37579.51020408164,411251.6326530613,5369.163265306122,3702.040816326531,83369840.0,83329443.7755102,42.59857142857143
DEU,Omicron,2022-01-10,40350.0,130.85714285714286,40219.142857142855,424869.7346938775,5366.714285714285,3632.163265306123,83369840.0,83326676.55102041,42.57714285714285
DEU,Omicron,2022-01-11,43114.6530612245,126.81632653061226,42987.83673469388,445746.4285714286,5360.714285714285,3561.0816326530617,83369840.0,83323785.08163264,42.55571428571428
DEU,Omicron,2022-01-12,45888.73469387755,121.9795918367347,45766.755102040814,471873.4489795919,5346.612244897959,3488.5714285714284,83369840.0,83320889.02040817,42.53285714285715
